"","월","요일","sum","label"
"1","201801","월",52841757.1667914,"201801(월)"
"2","201801","화",54528802.0483334,"201801(화)"
"3","201801","수",55363347.1564715,"201801(수)"
"4","201801","목",44872988.9399045,"201801(목)"
"5","201801","금",45824601.933132,"201801(금)"
"6","201801","토",43118841.3521134,"201801(토)"
"7","201801","일",38045994.3661347,"201801(일)"
"8","201802","월",44284484.4518256,"201802(월)"
"9","201802","화",45308764.3712848,"201802(화)"
"10","201802","수",45038785.0787243,"201802(수)"
"11","201802","목",43253704.5015322,"201802(목)"
"12","201802","금",43512311.2286707,"201802(금)"
"13","201802","토",41288046.9516138,"201802(토)"
"14","201802","일",37470200.2624192,"201802(일)"
"15","201803","월",44409245.9473439,"201803(월)"
"16","201803","화",45784085.2899152,"201803(화)"
"17","201803","수",45648632.7001242,"201803(수)"
"18","201803","목",55493926.2817757,"201803(목)"
"19","201803","금",58050104.9189053,"201803(금)"
"20","201803","토",55460416.6699729,"201803(토)"
"21","201803","일",38589993.4475229,"201803(일)"
"22","201804","월",55963815.5318342,"201804(월)"
"23","201804","화",45683035.8950246,"201804(화)"
"24","201804","수",46093084.3371815,"201804(수)"
"25","201804","목",46053453.4875501,"201804(목)"
"26","201804","금",47070202.5052422,"201804(금)"
"27","201804","토",45295819.0073958,"201804(토)"
"28","201804","일",49403745.5639125,"201804(일)"
"29","201805","월",44851907.4205623,"201805(월)"
"30","201805","화",55612992.8838821,"201805(화)"
"31","201805","수",56610411.7567046,"201805(수)"
"32","201805","목",57235790.4202185,"201805(목)"
"33","201805","금",47174060.4761379,"201805(금)"
"34","201805","토",44437446.8810905,"201805(토)"
"35","201805","일",40189224.4545758,"201805(일)"
"36","201806","월",45391332.8597783,"201806(월)"
"37","201806","화",46071909.9303644,"201806(화)"
"38","201806","수",44119298.3723721,"201806(수)"
"39","201806","목",46299762.2123609,"201806(목)"
"40","201806","금",58908540.2627883,"201806(금)"
"41","201806","토",56213419.0610565,"201806(토)"
"42","201806","일",39824676.5398869,"201806(일)"
"43","201807","월",55815422.2120559,"201807(월)"
"44","201807","화",57387371.2347248,"201807(화)"
"45","201807","수",46298691.0630299,"201807(수)"
"46","201807","목",46459311.2337794,"201807(목)"
"47","201807","금",47192860.3777061,"201807(금)"
"48","201807","토",45225789.1433627,"201807(토)"
"49","201807","일",49672995.1296274,"201807(일)"
"50","201808","월",44480367.4416857,"201808(월)"
"51","201808","화",45184094.9966096,"201808(화)"
"52","201808","수",55720162.5609306,"201808(수)"
"53","201808","목",56805654.9857159,"201808(목)"
"54","201808","금",57450590.182813,"201808(금)"
"55","201808","토",45602696.100733,"201808(토)"
"56","201808","일",39703165.3693798,"201808(일)"
"57","201809","월",44501909.5501267,"201809(월)"
"58","201809","화",44531597.0768155,"201809(화)"
"59","201809","수",44994334.4445555,"201809(수)"
"60","201809","목",46710879.9551704,"201809(목)"
"61","201809","금",47454560.5717371,"201809(금)"
"62","201809","토",56940542.771429,"201809(토)"
"63","201809","일",51220829.9029672,"201809(일)"
"64","201810","월",58110695.4523974,"201810(월)"
"65","201810","화",58207855.8088817,"201810(화)"
"66","201810","수",58154524.1211867,"201810(수)"
"67","201810","목",47498990.2972284,"201810(목)"
"68","201810","금",47641808.8143736,"201810(금)"
"69","201810","토",46057297.4323371,"201810(토)"
"70","201810","일",42028576.2224726,"201810(일)"
"71","201811","월",46253425.6846092,"201811(월)"
"72","201811","화",46828814.2754061,"201811(화)"
"73","201811","수",46832501.762143,"201811(수)"
"74","201811","목",58505579.8251201,"201811(목)"
"75","201811","금",59680519.2856534,"201811(금)"
"76","201811","토",46225680.2806268,"201811(토)"
"77","201811","일",42607150.7680891,"201811(일)"
"78","201812","월",56452895.0062668,"201812(월)"
"79","201812","화",44294615.0612419,"201812(화)"
"80","201812","수",46303398.4975367,"201812(수)"
"81","201812","목",45493639.6012533,"201812(목)"
"82","201812","금",46861275.7751002,"201812(금)"
"83","201812","토",56143057.0215295,"201812(토)"
"84","201812","일",50921783.4079157,"201812(일)"
