"","¿œ¿⁄","pm10"
"1",2019-01-01,37
"2",2019-01-02,40
"3",2019-01-03,60
"4",2019-01-04,61
"5",2019-01-05,52
"6",2019-01-06,56
"7",2019-01-07,46
"8",2019-01-08,53
"9",2019-01-09,58
"10",2019-01-10,70
"11",2019-01-11,81
"12",2019-01-12,90
"13",2019-01-13,118
"14",2019-01-14,104
"15",2019-01-15,50
"16",2019-01-16,47
"17",2019-01-17,54
"18",2019-01-18,81
"19",2019-01-19,65
"20",2019-01-20,47
"21",2019-01-21,66
"22",2019-01-22,69
"23",2019-01-23,47
"24",2019-01-24,50
"25",2019-01-25,48
"26",2019-01-26,41
"27",2019-01-27,74
"28",2019-01-28,67
"29",2019-01-29,62
"30",2019-01-30,69
"31",2019-01-31,43
"32",2019-02-01,57
"33",2019-02-02,39
"34",2019-02-03,67
"35",2019-02-04,73
"36",2019-02-05,80
"37",2019-02-06,59
"38",2019-02-07,35
"39",2019-02-08,40
"40",2019-02-09,46
"41",2019-02-10,44
"42",2019-02-11,59
"43",2019-02-12,42
"44",2019-02-13,55
"45",2019-02-14,42
"46",2019-02-15,59
"47",2019-02-16,40
"48",2019-02-17,46
"49",2019-02-18,47
"50",2019-02-19,55
"51",2019-02-20,72
"52",2019-02-21,70
"53",2019-02-22,57
"54",2019-02-23,64
"55",2019-02-24,76
"56",2019-02-25,58
"57",2019-02-26,68
"58",2019-02-27,76
"59",2019-02-28,93
"60",2019-03-01,91
"61",2019-03-02,86
"62",2019-03-03,122
"63",2019-03-04,136
"64",2019-03-05,106
"65",2019-03-06,55
"66",2019-03-07,53
"67",2019-03-08,48
"68",2019-03-09,51
"69",2019-03-10,69
"70",2019-03-11,74
"71",2019-03-12,46
"72",2019-03-13,47
"73",2019-03-14,54
"74",2019-03-15,46
"75",2019-03-16,44
"76",2019-03-17,46
"77",2019-03-18,63
"78",2019-03-19,83
"79",2019-03-20,37
"80",2019-03-21,41
"81",2019-03-22,27
"82",2019-03-23,31
"83",2019-03-24,50
"84",2019-03-25,63
"85",2019-03-26,80
"86",2019-03-27,75
"87",2019-03-28,45
"88",2019-03-29,41
"89",2019-03-30,44
"90",2019-03-31,30
"91",2019-04-01,35
"92",2019-04-02,44
"93",2019-04-03,39
"94",2019-04-04,72
"95",2019-04-05,63
"96",2019-04-06,43
"97",2019-04-07,44
"98",2019-04-08,29
"99",2019-04-09,8
"100",2019-04-10,30
"101",2019-04-11,57
"102",2019-04-12,53
"103",2019-04-13,43
"104",2019-04-14,57
"105",2019-04-15,51
"106",2019-04-16,45
"107",2019-04-17,45
"108",2019-04-18,47
"109",2019-04-19,49
"110",2019-04-20,37
"111",2019-04-21,85
"112",2019-04-22,87
"113",2019-04-23,62
"114",2019-04-24,42
"115",2019-04-25,10
"116",2019-04-26,20
"117",2019-04-27,21
"118",2019-04-28,22
"119",2019-04-29,41
"120",2019-04-30,59
"121",2019-05-01,55
"122",2019-05-02,56
"123",2019-05-03,74
"124",2019-05-04,70
"125",2019-05-05,39
"126",2019-05-06,55
"127",2019-05-07,57
"128",2019-05-08,53
"129",2019-05-09,66
"130",2019-05-10,69
"131",2019-05-11,61
"132",2019-05-12,63
"133",2019-05-13,46
"134",2019-05-14,70
"135",2019-05-15,69
"136",2019-05-16,62
"137",2019-05-17,34
"138",2019-05-18,16
"139",2019-05-19,41
"140",2019-05-20,60
"141",2019-05-21,63
"142",2019-05-22,74
"143",2019-05-23,79
"144",2019-05-24,76
"145",2019-05-25,46
"146",2019-05-26,26
"147",2019-05-27,26
"148",2019-05-28,56
"149",2019-05-29,53
"150",2019-05-30,24
"151",2019-05-31,39
"152",2019-06-01,41
"153",2019-06-02,45
"154",2019-06-03,30
"155",2019-06-04,51
"156",2019-06-05,56
"157",2019-06-06,19
"158",2019-06-07,30
"159",2019-06-08,42
"160",2019-06-09,14
