"","일자","교통량"
"1",20190101,7942740.76776999
"2",20190102,9973083.48519623
"3",20190103,10387190.3109479
"4",20190104,10548362.6981692
"5",20190105,9888232.95951102
"6",20190106,8699119.47734039
"7",20190107,10182944.4530993
"8",20190108,10418861.2684416
"9",20190109,10356319.7127586
"10",20190110,10467823.6941675
"11",20190111,10617363.3057498
"12",20190112,9943053.67083053
"13",20190113,8523613.44876754
"14",20190114,10003083.9179865
"15",20190115,10347697.7356123
"16",20190116,10379391.309838
"17",20190117,10427347.9017146
"18",20190118,10675257.5791594
"19",20190119,10008587.8031606
"20",20190120,8795775.18848987
"21",20190121,10183469.8746673
"22",20190122,10461373.0671076
"23",20190123,10512509.5565747
"24",20190124,10628513.4019261
"25",20190125,10827264.3600828
"26",20190126,10165639.7154472
"27",20190127,8806020.41433784
"28",20190128,10347283.9304041
"29",20190129,10654915.1728593
"30",20190130,10717026.1836504
"31",20190131,10789126.7822223
"32",20190201,10748868.6986093
"33",20190202,9387306.69860931
"34",20190203,7775197.69860931
"35",20190204,7602482.75631314
"36",20190205,9105037.75631314
"37",20190206,7804367.69860931
"38",20190207,10024774.0683779
"39",20190208,10587411.6986093
"40",20190209,9837568.87336221
"41",20190210,8448658.75631314
"42",20190211,10489371.9540954
"43",20190212,10661767.5920707
"44",20190213,10681660.9825088
"45",20190214,10800224.684701
"46",20190215,10023887.7741181
"47",20190216,9915635.47926005
"48",20190217,8780636.53696387
"49",20190218,10299679.6610133
"50",20190219,9396770.16481148
"51",20190220,10375122.0501753
"52",20190221,10507225.4301046
"53",20190222,10724496.8857098
"54",20190223,10202787.8857098
"55",20190224,9000024.23483918
"56",20190225,10376027.9382385
"57",20190226,10451894.9553627
"58",20190227,10511754.882419
"59",20190228,10686239.2521914
"60",20190301,9393368.06769632
"61",20190302,9366432.61953554
"62",20190303,8507155.68241389
"63",20190304,10065477.4794861
"64",20190305,10170361.8214594
"65",20190306,10321752.5331538
"66",20190307,10615958.8231792
"67",20190308,10849528.1824133
"68",20190309,10299867.1566458
"69",20190310,8805576.47926005
"70",20190311,10414991.0677273
"71",20190312,10535099.5694835
"72",20190313,10612124.7836523
"73",20190314,10662613.4482786
"74",20190315,10637057.0880699
"75",20190316,10112856.6888689
"76",20190317,8905754.90185643
"77",20190318,10361431.185593
"78",20190319,10511416.5237272
"79",20190320,10414055.1278411
"80",20190321,10591471.9845656
"81",20190322,10946246.2014719
"82",20190323,10230965.7135558
"83",20190324,9032630.07281029
"84",20190325,10416091.0238799
"85",20190326,10594824.6619709
"86",20190327,10465776.7757953
"87",20190328,10667381.2287398
"88",20190329,10756053.9399978
"89",20190330,10162438.8369404
"90",20190331,8965572.59043895
"91",20190401,10484358.7706358
