"","월","요일","sum","d_label"
"1","201901","월",40716782.1761572,"201901(월)"
"2","201901","화",49825588.0117908,"201901(화)"
"3","201901","수",51938330.2480179,"201901(수)"
"4","201901","목",52700002.0909784,"201901(목)"
"5","201901","금",42668247.9431612,"201901(금)"
"6","201901","토",40005514.1489494,"201901(토)"
"7","201901","일",34824528.5289356,"201901(일)"
"8","201902","월",38767562.3096603,"201902(월)"
"9","201902","화",39615470.468558,"201902(화)"
"10","201902","수",39372905.6137125,"201902(수)"
"11","201902","목",42018463.4353749,"201902(목)"
"12","201902","금",42084665.0570465,"201902(금)"
"13","201902","토",39343298.9369414,"201902(토)"
"14","201902","일",34004517.2267255,"201902(일)"
"15","201903","월",41257990.7566864,"201903(월)"
"16","201903","화",41811702.576641,"201903(화)"
"17","201903","수",41813709.2204424,"201903(수)"
"18","201903","목",42537425.4847632,"201903(목)"
"19","201903","금",52582253.4796493,"201903(금)"
"20","201903","토",50172561.0155465,"201903(토)"
"21","201903","일",44216689.7267796,"201903(일)"
"22","201904","월",53275468.9552087,"201904(월)"
"23","201904","화",54066380.4985304,"201904(화)"
"24","201904","수",43040047.0534601,"201904(수)"
"25","201904","목",43290566.8480227,"201904(목)"
"26","201904","금",44041396.4312952,"201904(금)"
"27","201904","토",42031898.5630163,"201904(토)"
"28","201904","일",36666371.2195993,"201904(일)"
"29","201905","월",40283064.9832969,"201905(월)"
"30","201905","화",42921504.1152661,"201905(화)"
"31","201905","수",52792952.5635212,"201905(수)"
"32","201905","목",53992058.4999868,"201905(목)"
"33","201905","금",55007710.5506611,"201905(금)"
"34","201905","토",41727564.3996278,"201905(토)"
"35","201905","일",36422267.8631897,"201905(일)"
"36","201906","월",41829452.6131794,"201906(월)"
"37","201906","화",42558771.1422896,"201906(화)"
"38","201906","수",42807202.9713298,"201906(수)"
"39","201906","목",41693157.4838225,"201906(목)"
"40","201906","금",42957535.7486105,"201906(금)"
"41","201906","토",51492974.0572035,"201906(토)"
"42","201906","일",44982372.5144328,"201906(일)"
"43","201907","월",52075304.8673485,"201907(월)"
"44","201907","화",53036429.2807978,"201907(화)"
"45","201907","수",52572257.4332973,"201907(수)"
"46","201907","목",42115305.9463795,"201907(목)"
"47","201907","금",42758992.4842483,"201907(금)"
"48","201907","토",40585294.7650771,"201907(토)"
"49","201907","일",35350018.6186459,"201907(일)"
"50","201908","월",41581967.7618962,"201908(월)"
"51","201908","화",42596064.7286414,"201908(화)"
"52","201908","수",42616222.817091,"201908(수)"
"53","201908","목",51828812.0688599,"201908(목)"
"54","201908","금",54198098.1296341,"201908(금)"
"55","201908","토",51390281.9103634,"201908(토)"
"56","201908","일",36224703.7181203,"201908(일)"
"57","201909","월",53225306.2760479,"201909(월)"
"58","201909","화",42844907.4836083,"201909(화)"
"59","201909","수",42856925.9778595,"201909(수)"
"60","201909","목",40876469.4217338,"201909(목)"
"61","201909","금",42139340.0489968,"201909(금)"
"62","201909","토",37959945.7011099,"201909(토)"
"63","201909","일",45123233.9240567,"201909(일)"
"64","201910","월",41863192.5180277,"201910(월)"
"65","201910","화",53919794.6777645,"201910(화)"
"66","201910","수",52555884.0034302,"201910(수)"
"67","201910","목",52252081.9523864,"201910(목)"
"68","201910","금",43696978.8229175,"201910(금)"
"69","201910","토",41633192.5093615,"201910(토)"
"70","201910","일",37366251.6968767,"201910(일)"
"71","201911","월",42317681.8705597,"201911(월)"
"72","201911","화",42876923.9939811,"201911(화)"
"73","201911","수",42814570.7956842,"201911(수)"
"74","201911","목",43240987.1216761,"201911(목)"
"75","201911","금",54480023.1102405,"201911(금)"
"76","201911","토",52030627.1781754,"201911(토)"
"77","201911","일",36704701.6441506,"201911(일)"
"78","201912","월",52114398.7551341,"201912(월)"
"79","201912","화",52487038.5356483,"201912(화)"
"80","201912","수",40685156.4927522,"201912(수)"
"81","201912","목",42687214.5574434,"201912(목)"
"82","201912","금",43451033.8669881,"201912(금)"
"83","201912","토",40386616.7206313,"201912(토)"
"84","201912","일",44051363.4916364,"201912(일)"
