date,china_average,seoul_average
2013-12-31,200,61
2014-01-01,218.1666667,85
2014-01-10,224.8333333,33
2014-01-11,153.1666667,49
2014-01-12,119.5,57
2014-01-13,190.7222222,30
2014-01-14,271.3333333,42
2014-01-15,222.0555556,56
2014-01-16,249.2777778,80
2014-01-17,197.6111111,94
2014-01-18,259.6666667,57
2014-01-19,204.9444444,50
2014-01-02,222.6111111,53
2014-01-20,80.77777778,60
2014-01-21,114.1666667,78
2014-01-22,122.6666667,88
2014-01-23,179.1111111,57
2014-01-24,123.2222222,65
2014-01-25,77.22222222,53
2014-01-26,101.5,36
2014-01-27,100,40
2014-01-28,96.72222222,32
2014-01-29,206.2222222,47
2014-01-03,107.6111111,57
2014-01-30,266.3888889,41
2014-01-31,207.9444444,25
2014-01-04,193.5,49
2014-01-05,253.6666667,43
2014-01-06,234.1666667,61
2014-01-07,93.22222222,74
2014-01-08,122.3333333,65
2014-01-09,182.9444444,21
2014-10-01,98.83333333,27
2014-10-10,122.6666667,32
2014-10-11,115.7222222,33
2014-10-12,68.38888889,26
2014-10-13,107.1111111,28
2014-10-14,153.4444444,39
2014-10-15,100.8888889,42
2014-10-16,137.5,37
2014-10-17,185.3333333,43
2014-10-18,99,59
2014-10-19,104.5,35
2014-10-02,101.1666667,36
2014-10-20,83.72222222,15
2014-10-21,109.5555556,17
2014-10-22,133.8333333,30
2014-10-23,125.7222222,44
2014-10-24,110.2222222,53
2014-10-25,126.4444444,41
2014-10-26,80.66666667,45
2014-10-27,100.9444444,62
2014-10-28,132.7777778,64
2014-10-29,114.2222222,63
2014-10-03,96.77777778,25
2014-10-30,76.94444444,47
2014-10-31,104.8333333,42
2014-10-04,117.4444444,22
2014-10-05,86.05555556,19
2014-10-06,127.8333333,33
2014-10-07,117.7222222,39
2014-10-08,128.3888889,46
2014-10-09,127.3333333,46
2014-11-01,87.38888889,57
2014-11-10,149.2222222,69
2014-11-11,101.6111111,42
2014-11-12,109.6666667,65
2014-11-13,148.6666667,35
2014-11-14,166.1666667,36
2014-11-15,153.1111111,51
2014-11-16,116.9444444,36
2014-11-17,141.2222222,38
2014-11-18,156.2222222,59
2014-11-19,152.2222222,65
2014-11-02,114.1111111,42
2014-11-20,244.6111111,63
2014-11-21,268.5,48
2014-11-22,153.8888889,66
2014-11-23,135.3888889,68
2014-11-24,118.5,34
2014-11-25,133.3333333,33
2014-11-26,122.6666667,54
2014-11-27,78.11111111,29
2014-11-28,119.3888889,20
2014-11-29,105.4444444,15
2014-11-03,115.5,33
2014-11-30,121.2777778,44
2014-11-04,148.8888889,35
2014-11-05,135.8888889,58
2014-11-06,74.77777778,54
2014-11-07,101.2222222,64
2014-11-08,157,61
2014-11-09,167.1111111,59
2014-12-01,90.94444444,74
2014-12-10,121.6666667,51
2014-12-11,106.5,43
2014-12-12,137,34
2014-12-13,158.4444444,38
2014-12-14,189.1666667,51
2014-12-15,84.66666667,34
2014-12-16,108.5555556,22
2014-12-17,135,30
2014-12-18,115.3888889,50
2014-12-19,73.16666667,31
2014-12-02,136.2222222,28
2014-12-20,83.72222222,21
2014-12-21,115.2777778,30
2014-12-22,159.5555556,49
