date, pm25, pm10, o3, no2, so2, co
2020-05-01,93,54,43,12,2,4
2020-05-02,90,39,16,11,2,4
2020-05-03,67, , , , , 
2020-04-01,103,42,31,30,4,4
2020-04-02,84,58,41,33,5,6
2020-04-03,113,67,38,17,4,4
2020-04-04,92,47,43,14,3,4
2020-04-05,71,57,36,39,5,5
2020-04-06,81,60,43,31,5,4
2020-04-07,94,47,37,15,4,3
2020-04-08,68,51,39,20,4,4
2020-04-09,82,47,37,28,4,4
2020-04-10,87,43,33,26,4,4
2020-04-11,79,33,46,15,3,4
2020-04-12,72,23,40,14,2,3
2020-04-13,45,52,46,38,4,5
2020-04-14,93,60,60,38,4,5
2020-04-15,120,53,47,39,5,5
2020-04-16,86,42,27,28,3,4
2020-04-17,75,31,35,17,3,3
2020-04-18,53,27,33,21,3,4
2020-04-19,63,17,35,17,2,4
2020-04-20,35,33,36,13,3,2
2020-04-21,38,71,31,12,2,3
2020-04-22,43,48,30,13,4,3
2020-04-23,52,45,44,20,4,4
2020-04-24,51,58,61,16,4,4
2020-04-25,80,33,43,11,4,3
2020-04-26,54,37,40,20,4,4
2020-04-27,67,41,48,26,3,4
2020-04-28,74,53,52,25,4,5
2020-04-29,95,40,48,26,3,4
2020-04-30,69,55,44,11,2,4
2020-03-01,112,43,33,21,4,6
2020-03-02,96,40,6,43,4,7
2020-03-03,93,44,33,17,4,6
2020-03-04,100,39,28,21,4,5
2020-03-05,89,45,14,53,5,6
2020-03-06,93,59,19,55,5,8
2020-03-07,131,61,36,44,4,8
2020-03-08,143,61,30,53,4,7
2020-03-09,134,41,25,28,3,6
2020-03-10,99,38,25,18,3,3
2020-03-11,49,38,28,32,4,4
2020-03-12,58,35,28,16,4,4
2020-03-13,52,41,34,19,4,4
2020-03-14,73,45,35,15,3,4
2020-03-15,70,27,26,20,3,4
2020-03-16,51,49,22,36,4,5
2020-03-17,79,58,31,35,5,6
2020-03-18,114,58,49,19,4,4
2020-03-19,79,46,29,21,4,4
2020-03-20,38,54,40,26,4,4
2020-03-21,61,39,40,12,4,3
2020-03-22,61,45,34,31,4,5
2020-03-23,97,58,31,40,5,6
2020-03-24,116,53,41,46,5,6
2020-03-25,102,54,38,41,4,6
2020-03-26,106,46,26,18,3,4
2020-03-27,80,37,31,11,3,3
2020-03-28,30,46,34,21,4,4
2020-03-29,66,56,28,45,5,5
2020-03-30,100,53,30,49,5,6
2020-03-31,97,66,37,22,5,5
2020-02-01,139,65,22,35,5,11
2020-02-02,147,30,32,19,4,5
2020-02-03,64,27,21,30,4,6
2020-02-04,63,27,26,14,4,4
2020-02-05,47,44,18,35,5,7
2020-02-06,79,41,15,38,5,7
2020-02-07,86,44,28,18,5,6
2020-02-08,99,40,26,29,5,7
2020-02-09,86,52,20,50,5,9
2020-02-10,106,59,12,64,6,11
2020-02-11,116,51,7,61,6,11
2020-02-12,115,65,16,43,4,10
2020-02-13,152,75,14,53,5,11
2020-02-14,163,64,23,41,5,10
2020-02-15,146,26,25,16,3,7
2020-02-16,69,30,28,15,3,5
2020-02-17,70,26,25,24,4,5
2020-02-18,65,37,12,53,4,8
2020-02-19,89,61,10,57,4,10
2020-02-20,142,62,22,51,5,8
2020-02-21,134,64,33,20,4,7
2020-02-22,109,27,32,21,4,4
2020-02-23,48,40,18,50,5,7
2020-02-24,76,22,28,31,3,5
2020-02-25,48,19,23,28,3,5
2020-02-26,38,15,22,27,3,4
2020-02-27,29,28,8,45,3,7
2020-02-28,73,27,23,31,3,6
2020-02-29,71,49,22,34,4,8
2020-01-01,89,60,3,49,6,11
2020-01-02,133,64,13,47,6,11
2020-01-03,141,58,18,48,7,13
2020-01-04,127,56,9,54,7,13
2020-01-05,121,43,5,24,5,9
2020-01-06,99,10,9,20,4,7
2020-01-07,30,28,17,14,4,8
2020-01-08,67,52,22,23,5,8
2020-01-09,126,61,8,46,5,11
2020-01-10,144,56,21,43,6,11
2020-01-11,132,48,23,23,6,7
2020-01-12,115,29,21,25,4,4
2020-01-13,69,33,13,39,5,8
2020-01-14,80,41,15,37,6,8
2020-01-15,88,45,12,39,5,8
2020-01-16,96,59,7,56,6,10
2020-01-17,118,61,14,51,7,10
2020-01-18,124,59,24,46,6,11
2020-01-19,130,56,22,31,5,8
2020-01-20,98,48,18,48,8,8
2020-01-21,63,51,5,59,5,9
2020-01-22,72,61,23,49,7,10
2020-01-23,119,65,19,36,4,10
2020-01-24,152,52,11,43,4,10
2020-01-25,117,30,28,27,4,7
2020-01-26,68,10,33,11,3,3
2020-01-27,20,12,25,23,4,4
2020-01-28,24,17,16,32,4,6
2020-01-29,35,20,20,32,4,7
2020-01-30,43,29,18,31,4,6
2020-01-31,63,63,23,43,5,11
2019-10-01,104,25,8,24,4,5
2019-10-02,59,9,20,15,4,3
2019-10-03,19,30,26,28,6,7
2019-10-04,68,43,23,18,5,6
2019-10-05,82,12,30,12,3,3
2019-10-06,20,11,17,25,4,5
2019-10-07,26,25,27,23,4,5
2019-10-08,43,26,25,28,4,5
2019-10-09,40,33,11,43,5,6
2019-10-10,58,39,24,33,5,6
2019-10-11,62,29,22,16,4,4
2019-10-12,43,24,21,16,3,5
2019-10-13,43,39,22,19,4,7
2019-10-14,61,26,16,22,4,7
2019-10-15,39,34,21,24,4,7
2019-10-16,61,33,20,24,4,7
2019-10-17,66,19,21,23,4,6
2019-10-18,39,22,28,25,4,5
2019-10-19,45,41,32,31,4,7
2019-10-20,87,45,28,46,4,8
2019-10-21,90,40,25,44,5,7
2019-10-22,86,23,22,31,4,6
2019-10-23,54,29,32,23,4,5
2019-10-24,61,25,23,26,5,5
2019-10-25,51,24,25,17,4,5
2019-10-26,59,26,25,25,4,6
2019-10-27,64,34,25,35,5,6
2019-10-28,75,78,26,23,4,5
2019-10-29,73,28,17,34,5,6
2019-10-30,47,69,36,40,5,7
2019-10-31,94,82,25,40,5,8
2019-11-01,124,64,14,59,7,10
2019-11-02,128,49,28,32,5,7
2019-11-03,105,13,18,30,4,5
2019-11-04,29,35,24,43,6,7
2019-11-05,78,50,12,49,6,9
2019-11-06,106,50,25,32,5,6
2019-11-07,81,45,18,38,5,7
2019-11-08,58,39,8,58,7,9
2019-11-09,73,32,11,45,6,7
2019-11-10,77,21,16,37,5,6
2019-11-11,59,32,5,51,7,8
2019-11-12,74,30,5,44,6,8
2019-11-13,76,19,20, ,4,4
2019-11-14,27,25,5,42,4,7
2019-11-15,55,36,6,40,4,9
