date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 58, 66, 39, 26, 25, ,dongying
2020/4/2, 114, 91, 52, 25, 44, ,dongying
2020/4/3, 156, 134, 37, 15, 9, ,dongying
2020/4/4, 86, 79, 50, 29, 9, ,dongying
2020/4/5, 92, 102, 69, 37, 25, ,dongying
2020/4/6, 146, 85, 41, 20, 10, ,dongying
2020/4/7, 106, 65, 36, 13, 5, ,dongying
2020/4/8, 80, 29, 39, 8, 2, ,dongying
2020/4/9, 69, 57, 47, 20, 4, ,dongying
2020/4/10, 113, 75, 47, 27, 14, ,dongying
2020/4/11, 133, 78, 50, 27, 8, ,dongying
2020/4/12, 119, 80, 64, 28, 12, ,dongying
2020/4/13, 133, 94, 70, 29, 14, ,dongying
2020/4/14, 115, 91, 77, 23, 11, ,dongying
2020/4/15, 133, 92, 48, 13, 5, ,dongying
2020/4/16, 138, 75, 62, 11, 4, ,dongying
2020/4/17, 125, 74, 74, 17, 6, ,dongying
2020/4/18, 123, 90, 53, 22, 9, ,dongying
2020/4/19, 160, 60, 33, 12, 5, ,dongying
2020/4/20, 73, 49, , 10, 6, ,dongying
2020/4/21, 53, 58, 3, 9, 6, ,dongying
2020/4/22, 62, 57, 40, 15, 9, ,dongying
2020/4/23, 74, 107, 40, 21, 26, ,dongying
2020/4/24, 118, 71, 42, 16, 9, ,dongying
2020/4/25, 98, 64, 49, 27, 13, ,dongying
2020/4/26, 109, 93, 71, 29, 20, ,dongying
2020/4/27, 145, 97, 66, 33, 22, ,dongying
2020/4/28, 141, 91, 104, 28, 19, ,dongying
2020/4/29, 139, 98, 35, 28, 25, ,dongying
2020/4/30, 160, 98, , , , ,dongying
2020/3/1, 152, 83, 37, 20, 9, ,dongying
2020/3/2, 169, 58, 19, 16, 7, ,dongying
2020/3/3, 130, 29, 30, 8, 5, ,dongying
2020/3/4, 60, 65, 40, 22, 11, ,dongying
2020/3/5, 129, 81, 45, 18, 11, ,dongying
2020/3/6, 158, 97, 42, 20, 6, ,dongying
2020/3/7, 187, 126, 40, 14, 6, ,dongying
2020/3/8, 220, 58, 29, 7, 4, ,dongying
2020/3/9, 136, 56, 35, 13, 4, ,dongying
2020/3/10, 114, 86, 43, 29, 11, ,dongying
2020/3/11, 137, 86, 34, 16, 8, ,dongying
2020/3/12, 125, 48, 34, 12, 4, ,dongying
2020/3/13, 66, 89, 35, 25, 10, ,dongying
2020/3/14, 122, 65, 37, 17, 8, ,dongying
2020/3/15, 87, 81, 39, 18, 8, ,dongying
2020/3/16, 103, 99, 53, 31, 9, ,dongying
2020/3/17, 143, 199, 58, 27, 11, ,dongying
2020/3/18, 146, 67, 37, 15, 6, ,dongying
2020/3/19, 76, 132, 48, 26, 10, ,dongying
2020/3/20, 130, 113, 45, 21, 8, ,dongying
2020/3/21, 138, 60, 46, 21, 7, ,dongying
2020/3/22, 94, 90, 61, 34, 17, ,dongying
2020/3/23, 152, 105, 66, 29, 18, ,dongying
2020/3/24, 151, 69, 46, 16, 12, ,dongying
2020/3/25, 108, 49, 30, 10, 4, ,dongying
2020/3/26, 89, 44, 34, 16, 7, ,dongying
2020/3/27, 51, 45, 37, 15, 4, ,dongying
2020/3/28, 41, 69, 49, 26, 14, ,dongying
