date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 139, 63, 34, 18, 6, ,heze
2020/4/2, 131, 81, 51, 20, 5, ,heze
2020/4/3, 163, 110, 59, 22, 10, ,heze
2020/4/4, 175, 113, 49, 15, 9, ,heze
2020/4/5, 142, 69, 55, 12, 9, ,heze
2020/4/6, 107, 76, 56, 13, 10, ,heze
2020/4/7, 125, 109, 49, 19, 10, ,heze
2020/4/8, 158, 76, 17, 13, 7, ,heze
2020/4/9, 143, 47, 27, 10, 3, ,heze
2020/4/10, 121, 58, 55, 11, 5, ,heze
2020/4/11, 121, 82, 44, 15, 9, ,heze
2020/4/12, 124, 91, 66, 17, 10, ,heze
2020/4/13, 137, 68, 67, 8, 7, ,heze
2020/4/14, 87, 70, 56, 9, 7, ,heze
2020/4/15, 113, 70, 58, 11, 6, ,heze
2020/4/16, 91, 97, 55, 16, 8, ,heze
2020/4/17, 117, 84, 60, 25, 8, ,heze
2020/4/18, 154, 60, 69, 9, 5, ,heze
2020/4/19, 144, 68, , 11, 4, ,heze
2020/4/20, 83, 81, , 21, 10, ,heze
2020/4/21, 117, 70, 27, 14, 9, ,heze
2020/4/22, 78, 74, 60, 18, 9, ,heze
2020/4/23, 110, 91, 48, 19, 9, ,heze
2020/4/24, 125, 98, 47, 14, 7, ,heze
2020/4/25, 109, 85, 55, 16, 9, ,heze
2020/4/26, 105, 57, 61, 11, 5, ,heze
2020/4/27, 82, 74, 72, 12, 6, ,heze
2020/4/28, 93, 78, 97, 14, 6, ,heze
2020/4/29, 126, 78, , , , ,heze
2020/3/1, 132, 63, 33, 14, 5, ,heze
2020/3/2, 134, 60, 32, 9, 4, ,heze
2020/3/3, 101, 54, 28, 16, 4, ,heze
2020/3/4, 86, 68, 40, 15, 5, ,heze
2020/3/5, 112, 81, 47, 12, 6, ,heze
2020/3/6, 155, 104, 57, 20, 8, ,heze
2020/3/7, 172, 106, 51, 18, 6, ,heze
2020/3/8, 171, 86, 23, 15, 3, ,heze
2020/3/9, 174, 70, 44, 13, 4, ,heze
2020/3/10, 142, 101, 43, 12, 5, ,heze
2020/3/11, 132, 95, 47, 12, 5, ,heze
2020/3/12, 118, 70, 30, 13, 6, ,heze
2020/3/13, 100, 71, 39, 12, 7, ,heze
2020/3/14, 104, 68, 39, 18, 12, ,heze
2020/3/15, 73, 87, 35, 12, 7, ,heze
2020/3/16, 117, 96, 46, 19, 9, ,heze
2020/3/17, 140, 99, 56, 13, 8, ,heze
2020/3/18, 116, 164, 46, 9, 5, ,heze
2020/3/19, 80, 137, 64, 11, 7, ,heze
2020/3/20, 105, 110, 66, 15, 10, ,heze
2020/3/21, 153, 90, 59, 15, 10, ,heze
2020/3/22, 132, 75, 56, 14, 9, ,heze
2020/3/23, 109, 72, 54, 12, 8, ,heze
2020/3/24, 102, 69, 28, 16, 6, ,heze
2020/3/25, 134, 73, 28, 11, 3, ,heze
2020/3/26, 127, 50, 33, 10, 5, ,heze
2020/3/27, 52, 62, 38, 17, 11, ,heze
2020/3/28, 84, 65, 41, 11, 5, ,heze
2020/3/29, 111, 62, 43, 10, 4, ,heze
2020/3/30, 115, 58, 36, 9, 5, ,heze
2020/3/31, 119, 84, 34, 18, 7, ,heze
2020/2/1, 217, 104, 42, 12, 9, ,heze
2020/2/2, 188, 70, 38, 8, 6, ,heze
2020/2/3, 153, 100, 34, 10, 5, ,heze
2020/2/4, 179, 61, 18, 9, 5, ,heze
2020/2/5, 132, 55, 19, 9, 4, ,heze
2020/2/6, 125, 50, 25, 6, 3, ,heze
2020/2/7, 116, 70, 32, 7, 3, ,heze
2020/2/8, 154, 106, 43, 9, 4, ,heze
2020/2/9, 202, 59, 43, 8, 3, ,heze
2020/2/10, 142, 57, 39, 9, 4, ,heze
2020/2/11, 131, 59, 34, 9, 3, ,heze
2020/2/12, 146, 59, 35, 8, 4, ,heze
2020/2/13, 136, 61, 20, 9, 4, ,heze
2020/2/14, 135, 35, 28, 6, 4, ,heze
2020/2/15, 74, 48, 35, 8, 6, ,heze
2020/2/16, 87, 47, 37, 8, 7, ,heze
2020/2/17, 94, 55, 42, 5, 4, ,heze
2020/2/18, 93, 53, 41, 6, 5, ,heze
2020/2/19, 102, 78, 43, 10, 6, ,heze
2020/2/20, 160, 98, 41, 8, 6, ,heze
2020/2/21, 151, 74, 37, 13, 4, ,heze
