date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 108, 41, 44, 13, 2, 4,shanghai
2020/4/2, 68, 46, 46, 19, 3, 4,shanghai
2020/4/3, 97, 59, 70, 26, 4, 5,shanghai
2020/4/4, 136, 38, 47, 8, 2, 2,shanghai
2020/4/5, 56, 36, 38, 15, 2, 3,shanghai
2020/4/6, 65, 42, 37, 28, 3, 4,shanghai
2020/4/7, 88, 48, 57, 30, 3, 4,shanghai
2020/4/8, 93, 50, 52, 21, 3, 4,shanghai
2020/4/9, 111, 43, 49, 12, 2, 4,shanghai
2020/4/10, 86, 31, 40, 10, 2, 4,shanghai
2020/4/11, 86, 51, 54, 14, 3, 7,shanghai
2020/4/12, 136, 64, 62, 22, 5, 8,shanghai
2020/4/13, 147, 63, 84, 25, 3, 6,shanghai
2020/4/14, 157, 57, 66, 25, 4, 6,shanghai
2020/4/15, 130, 51, 80, 22, 4, 7,shanghai
2020/4/16, 116, 69, 41, 37, 4, 9,shanghai
2020/4/17, 132, 63, 56, 24, 4, 9,shanghai
2020/4/18, 123, 38, 47, 13, 2, 8,shanghai
2020/4/19, 104, 53, 80, 19, 3, 9,shanghai
2020/4/20, 144, 36, 41, 15, 1, 5,shanghai
2020/4/21, 80, 43, 53, 16, 2, 4,shanghai
2020/4/22, 82, 46, 49, 14, 2, 4,shanghai
2020/4/23, 83, 56, 78, 22, 4, 5,shanghai
2020/4/24, 113, 57, 75, 22, 3, 5,shanghai
2020/4/25, 126, 62, 52, 13, 2, 5,shanghai
2020/4/26, 105, 34, 44, 13, 1, 4,shanghai
2020/4/27, 71, 34, 48, 21, 2, 3,shanghai
2020/4/28, 77, 28, 73, 11, 2, 4,shanghai
2020/4/29, 66, 28, , , , ,shanghai
2020/3/1, 53, 28, 39, 8, 2, 7,shanghai
2020/3/2, 82, 29, 29, 14, 2, 5,shanghai
2020/3/3, 71, 33, 40, 10, 2, 5,shanghai
2020/3/4, 96, 29, 41, 9, 2, 4,shanghai
2020/3/5, 80, 30, 50, 12, 2, 4,shanghai
2020/3/6, 79, 55, 46, 17, 2, 6,shanghai
2020/3/7, 139, 24, 45, 9, , 4,shanghai
2020/3/8, 71, 12, 37, 15, 2, 4,shanghai
2020/3/9, 48, 31, 41, 11, 1, 5,shanghai
2020/3/10, 92, 59, 50, 22, 1, 7,shanghai
2020/3/11, 143, 52, 46, 14, 1, 5,shanghai
2020/3/12, 131, 30, 36, 14, 1, 4,shanghai
2020/3/13, 78, 39, 37, 14, 1, 4,shanghai
2020/3/14, 69, 58, 46, 26, 2, 6,shanghai
2020/3/15, 106, 34, 37, 14, 2, 4,shanghai
2020/3/16, 52, 48, 57, 22, 3, 4,shanghai
2020/3/17, 321, 61, 81, 27, 2, 6,shanghai
2020/3/18, 275, 56, 38, 17, 3, 5,shanghai
2020/3/19, 106, 51, 50, 16, 1, 3,shanghai
2020/3/20, 61, 57, 59, 22, 4, 6,shanghai
2020/3/21, 107, 46, 44, 12, 1, 5,shanghai
2020/3/22, 118, 25, 39, 13, 1, 3,shanghai
2020/3/23, 58, 36, 45, 18, 2, 4,shanghai
2020/3/24, 85, 33, 53, 13, 2, 4,shanghai
2020/3/25, 67, 40, 24, 25, 1, 8,shanghai
2020/3/26, 107, 34, 35, 8, 1, 5,shanghai
2020/3/27, 62, 23, 32, 8, 2, 3,shanghai
2020/3/28, 43, 28, 31, 11, 1, 3,shanghai
2020/3/29, 43, 22, 33, 15, 1, 4,shanghai
2020/3/30, 63, 27, 37, 15, 1, 4,shanghai
2020/3/31, 67, 39, 53, 13, 3, 5,shanghai
2020/2/1, 81, 33, 41, 10, 4, 5,shanghai
2020/2/2, 88, 53, 42, 12, 4, 7,shanghai
2020/2/3, 160, 18, 37, 9, 3, 4,shanghai
2020/2/4, 61, 28, 35, 10, 3, 5,shanghai
2020/2/5, 77, 19, 32, 5, , 4,shanghai
2020/2/6, 57, 21, 33, 6, 3, 5,shanghai
2020/2/7, 70, 33, 32, 6, 3, 5,shanghai
2020/2/8, 98, 62, 39, 10, 3, 8,shanghai
2020/2/9, 155, 45, 42, 16, 4, 6,shanghai
2020/2/10, 119, 25, 36, 8, 2, 4,shanghai
2020/2/11, 72, 43, 26, 15, 2, 8,shanghai
2020/2/12, 105, 51, 27, 11, 2, 7,shanghai
2020/2/13, 124, 19, 27, 11, 1, 5,shanghai
2020/2/14, 55, 12, 19, 8, 1, 5,shanghai
2020/2/15, 41, 31, 31, 5, 2, 5,shanghai
2020/2/16, 78, 23, 34, 6, 2, 4,shanghai
2020/2/17, 56, 18, 33, 10, 3, 5,shanghai
2020/2/18, 61, 16, 43, 9, 2, 3,shanghai
2020/2/19, 50, 17, 36, 15, 2, 3,shanghai
2020/2/20, 54, 27, 36, 14, 2, 4,shanghai
2020/2/21, 75, 72, 47, 13, 3, 6,shanghai
2020/2/22, 147, 47, 43, 10, 2, 3,shanghai
2020/2/23, 80, 54, 54, 11, 3, 5,shanghai
2020/2/24, 101, 51, 36, 16, 3, 7,shanghai
2020/2/25, 143, 30, 35, 6, 2, 5,shanghai
2020/2/26, 75, 39, 38, 8, 2, 5,shanghai
2020/2/27, 80, 40, 31, 15, 2, 7,shanghai
2020/2/28, 90, 30, 24, 16, 2, 7,shanghai
2020/2/29, 74, 18, 32, 9, 2, 5,shanghai
2020/1/1, 52, 32, 15, 32, 3, 5,shanghai
2020/1/2, 72, 43, 11, 29, 4, 6,shanghai
2020/1/3, 133, 55, 23, 22, 3, 6,shanghai
2020/1/4, 137, 45, 25, 24, 3, 5,shanghai
2020/1/5, 102, 29, 29, 26, 4, 6,shanghai
2020/1/6, 78, 33, 12, 29, 3, 11,shanghai
2020/1/7, 92, 43, 19, 22, 3, 11,shanghai
2020/1/8, 119, 36, 23, 21, 3, 8,shanghai
2020/1/9, 104, 21, 22, 18, 3, 6,shanghai
2020/1/10, 64, 29, 25, 19, 3, 7,shanghai
2020/1/11, 91, 84, 27, 22, 6, 15,shanghai
2020/1/12, 181, 97, 28, 30, 5, 14,shanghai
2020/1/13, 196, 92, 27, 26, 4, 14,shanghai
2020/1/14, 190, 41, 28, 22, 1, 5,shanghai
2020/1/15, 117, 12, 28, 15, 1, 4,shanghai
2020/1/16, 50, 39, 25, 20, 3, 8,shanghai
2020/1/17, 111, 61, 24, 19, 4, 10,shanghai
2020/1/18, 158, 69, 29, 26, 3, 11,shanghai
2020/1/19, 165, 93, 46, 33, 5, 15,shanghai
2020/1/20, 192, 81, 47, 23, 4, 10,shanghai
2020/1/21, 177, 66, 31, 24, 3, 12,shanghai
2020/1/22, 162, 33, 28, 13, 2, 8,shanghai
2020/1/23, 96, 49, 40, 7, 3, 8,shanghai
2020/1/24, 121, 17, 29, 6, 2, 7,shanghai
2020/1/25, 54, 17, 32, 5, 3, 5,shanghai
2020/1/26, 58, 23, 33, 5, 2, 6,shanghai
2020/1/27, 77, 66, 26, 8, 3, 10,shanghai
2020/1/28, 164, 59, 43, 7, 5, 8,shanghai
2020/1/29, 156, 62, 41, 6, 5, 10,shanghai
2020/1/30, 158, 47, 38, 10, 5, 9,shanghai
2020/1/31, 126, 28, 32, 18, 4, 6,shanghai
2019/10/1, 46, 19, 21, 10, 3, 4,shanghai
2019/10/2, 57, 34, 34, 18, 3, 5,shanghai
2019/10/3, 76, 45, 52, 14, 3, 4,shanghai
2019/10/4, 116, 38, 44, 10, 3, 4,shanghai
2019/10/5, 92, 33, 41, 11, 3, 3,shanghai
2019/10/6, 45, 48, 28, 19, 4, 5,shanghai
2019/10/7, 93, 53, 27, 21, 4, 9,shanghai
2019/10/8, 138, 51, 35, 23, 4, 8,shanghai
2019/10/9, 105, 38, 55, 17, 4, 4,shanghai
2019/10/10, 65, 50, 32, 19, 5, 7,shanghai
2019/10/11, 113, 47, 50, 12, 4, 5,shanghai
2019/10/12, 135, 40, 44, 15, 3, 4,shanghai
2019/10/13, 87, 39, 38, 13, 3, 4,shanghai
2019/10/14, 76, 31, 33, 11, 3, 3,shanghai
2019/10/15, 54, 43, 36, 18, 3, 3,shanghai
2019/10/16, 73, 43, 42, 18, 4, 4,shanghai
2019/10/17, 82, 39, 44, 19, 4, 4,shanghai
2019/10/18, 77, 49, 54, 22, 4, 5,shanghai
2019/10/19, 115, 52, 64, 26, 4, 6,shanghai
2019/10/20, 133, 45, 50, 22, 4, 5,shanghai
2019/10/21, 118, 47, 48, 27, 4, 5,shanghai
2019/10/22, 96, 49, 51, 21, 3, 5,shanghai
2019/10/23, 112, 38, 47, 17, 3, 5,shanghai
2019/10/24, 90, 61, 64, 21, 4, 7,shanghai
2019/10/25, 123, 36, 31, 13, 4, 5,shanghai
2019/10/26, 78, 40, 26, 23, 4, 5,shanghai
2019/10/27, 72, 61, 38, 34, 5, 8,shanghai
2019/10/28, 144, 142, 49, 30, 6, 9,shanghai
2019/10/29, 158, 145, 44, 38, 5, 8,shanghai
2019/10/30, 134, 147, 80, 29, 5, 7,shanghai
2019/10/31, 146, 82, 62, 27, 5, 7,shanghai
2019/11/1, 125, 107, 84, 20, 5, 9,shanghai
2019/11/2, 160, 47, 57, 13, 4, 7,shanghai
2019/11/3, 96, 48, 48, 11, 4, 7,shanghai
2019/11/4, 101, 27, 42, 15, 4, 5,shanghai
2019/11/5, 67, 28, 36, 19, 4, 5,shanghai
2019/11/6, 57, 44, 47, 18, 4, 6,shanghai
2019/11/7, 102, 27, 37, 13, 4, 4,shanghai
2019/11/8, 53, 24, 38, 19, 4, 5,shanghai
2019/11/9, 50, 51, 58, 28, 5, 6,shanghai
2019/11/10, 107, 80, 34, 37, 6, 8,shanghai
2019/11/11, 124, 68, 32, 29, 5, 6,shanghai
2019/11/12, 82, 66, 39, 27, 6, 9,shanghai
2019/11/13, 127, 72, 32, 16, 4, 6,shanghai
2019/11/14, 75, 56, 44, 23, 5, 6,shanghai
2019/11/15, 72, 42, 51, 23, 5, 7,shanghai
2019/11/16, 78, 43, 34, 24, 5, 7,shanghai
2019/11/17, 86, 83, 27, 13, 4, 7,shanghai
2019/11/18, 132, 98, 29, 15, 5, 7,shanghai
2019/11/19, 103, 68, 31, 22, 4, 6,shanghai
2019/11/20, 78, 34, 26, 26, 3, 5,shanghai
2019/11/21, 56, 45, 20, 33, 4, 6,shanghai
2019/11/22, 82, 37, 17, 28, 3, 6,shanghai
2019/11/23, 72, 36, 30, 21, 3, 6,shanghai
2019/11/24, 98, 30, 26, 11, 2, 4,shanghai
2019/11/25, 57, 25, 20, 20, 3, 5,shanghai
2019/11/26, 62, 20, 24, 18, 2, 5,shanghai
2019/11/27, 64, 33, 24, 15, 3, 6,shanghai
2019/11/28, 68, 32, 21, 21, 3, 6,shanghai
2019/11/29, 71, 25, 17, 29, 3, 5,shanghai
2019/11/30, 62, 28, 20, 22, , 8,shanghai
2019/12/1, 85, 59, 22, 26, 6, 11,shanghai
2019/12/2, 143, 69, 27, 40, 7, 11,shanghai
2019/12/3, 166, 87, 20, 62, 8, 14,shanghai
2019/12/4, 180, 58, 30, 31, 6, 7,shanghai
2019/12/5, 141, 21, 31, 13, 3, 3,shanghai
2019/12/6, 58, 39, 32, 28, 5, 6,shanghai
2019/12/7, 109, 68, 34, 44, 6, 9,shanghai
2019/12/8, 162, 77, 29, 55, 6, 8,shanghai
2019/12/9, 172, 69, 29, 58, 6, 7,shanghai
2019/12/10, 163, 92, 37, 47, 7, 12,shanghai
2019/12/11, 185, 46, 30, 22, 4, 8,shanghai
2019/12/12, 102, 50, 31, 29, 4, 8,shanghai
2019/12/13, 97, 64, 32, 33, 5, 10,shanghai
2019/12/14, 141, 31, 26, 20, 3, 6,shanghai
2019/12/15, 64, 44, 29, 27, 4, 7,shanghai
2019/12/16, 97, 66, 8, 29, 4, 11,shanghai
2019/12/17, 156, 39, 23, 17, 3, 7,shanghai
2019/12/18, 97, 32, 18, 21, 3, 7,shanghai
2019/12/19, 86, 43, 21, 27, 4, 9,shanghai
2019/12/20, 119, 32, 26, 26, 3, 8,shanghai
2019/12/21, 93, 18, 27, 21, 3, 8,shanghai
2019/12/22, 65, 34, 28, 24, 3, 9,shanghai
2019/12/23, 101, 41, 26, 22, 3, 7,shanghai
2019/12/24, 104, 30, 18, 31, 3, 6,shanghai
2019/12/25, 83, 32, 18, 22, 3, 9,shanghai
2019/12/26, 96, 59, 21, 28, 5, 10,shanghai
2019/12/27, 155, 66, 33, 34, 5, 10,shanghai
2019/12/28, 146, 37, 20, 31, 4, 6,shanghai
2019/12/29, 100, 37, , , , ,shanghai
2019/7/1, 64, 25, 47, 14, 1, 4,shanghai
2019/7/2, 70, 33, 51, 10, 1, 4,shanghai
2019/7/3, 89, 42, 52, 12, 2, 5,shanghai
2019/7/4, 111, 44, 53, 13, 2, 5,shanghai
2019/7/5, 106, 42, 52, 10, 1, 4,shanghai
2019/7/6, 107, 40, 96, 13, 1, 7,shanghai
2019/7/7, 96, 52, 89, 16, 4, 7,shanghai
2019/7/8, 136, 23, 31, 10, 2, 4,shanghai
2019/7/9, 69, 24, 33, 16, 2, 5,shanghai
2019/7/10, 65, 42, 47, 21, 2, 6,shanghai
2019/7/11, 136, 34, 27, 17, 3, 5,shanghai
2019/7/12, 97, 16, 40, 10, 2, 4,shanghai
2019/7/13, 58, 38, 75, 14, 2, 5,shanghai
2019/7/14, 97, 33, 51, 10, 1, 4,shanghai
2019/7/15, 82, 26, 32, 10, 2, 4,shanghai
2019/7/16, 70, 32, 35, 9, 1, 3,shanghai
2019/7/17, 79, 22, 16, 9, 1, 3,shanghai
