date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 157, 86, 43, 20, 19, ,zaozhuang
2020/4/2, 143, 117, 61, 27, 22, ,zaozhuang
2020/4/3, 173, 139, 62, 26, 29, ,zaozhuang
2020/4/4, 163, 92, 45, 17, 19, ,zaozhuang
2020/4/5, 111, 89, 54, 24, 22, ,zaozhuang
2020/4/6, 141, 95, 63, 27, 22, ,zaozhuang
2020/4/7, 135, 110, 67, 25, 26, ,zaozhuang
2020/4/8, 159, 80, 39, 10, 7, ,zaozhuang
2020/4/9, 117, 53, 36, 11, 4, ,zaozhuang
2020/4/10, 120, 70, 47, 15, 15, ,zaozhuang
2020/4/11, 150, 92, 49, 18, 22, ,zaozhuang
2020/4/12, 147, 86, 62, 24, 27, ,zaozhuang
2020/4/13, 138, 79, 59, 19, 6, ,zaozhuang
2020/4/14, 131, 78, 68, 17, 9, ,zaozhuang
2020/4/15, 131, 75, 55, 12, 6, ,zaozhuang
2020/4/16, 122, 92, 58, 15, 11, ,zaozhuang
2020/4/17, 108, 64, 67, 15, 5, ,zaozhuang
2020/4/18, 116, 55, 51, 9, 4, ,zaozhuang
2020/4/19, 129, 68, , 15, 17, ,zaozhuang
2020/4/20, 122, 76, , 18, 13, ,zaozhuang
2020/4/21, 104, 69, 23, 12, 14, ,zaozhuang
2020/4/22, 92, 81, 49, 18, 28, ,zaozhuang
2020/4/23, 116, 87, 69, 18, 20, ,zaozhuang
2020/4/24, 140, 87, 47, 13, 16, ,zaozhuang
2020/4/25, 109, 68, 50, 11, 16, ,zaozhuang
2020/4/26, 93, 67, 69, 12, 18, ,zaozhuang
2020/4/27, 125, 69, 74, 17, 13, ,zaozhuang
2020/4/28, 115, 84, 97, 19, 14, ,zaozhuang
2020/4/29, 143, 104, 60, 22, 19, ,zaozhuang
2020/4/30, 154, 104, , , , ,zaozhuang
2020/3/1, 159, 93, 33, 22, 9, ,zaozhuang
2020/3/2, 172, 94, 22, 26, 14, ,zaozhuang
2020/3/3, 165, 70, 38, 23, 16, ,zaozhuang
2020/3/4, 124, 76, 43, 20, 21, ,zaozhuang
2020/3/5, 144, 82, 43, 18, 15, ,zaozhuang
2020/3/6, 156, 114, 54, 31, 23, ,zaozhuang
2020/3/7, 177, 92, 47, 18, 18, ,zaozhuang
2020/3/8, 171, 75, 31, 17, 10, ,zaozhuang
2020/3/9, 163, 72, 36, 16, 18, ,zaozhuang
2020/3/10, 154, 105, 48, 21, 21, ,zaozhuang
2020/3/11, 160, 102, 49, 22, 15, ,zaozhuang
2020/3/12, 150, 73, 30, 15, 7, ,zaozhuang
2020/3/13, 124, 79, 35, 19, 21, ,zaozhuang
2020/3/14, 144, 86, 41, 23, 32, ,zaozhuang
2020/3/15, 128, 68, 35, 16, 21, ,zaozhuang
2020/3/16, 100, 111, 60, 31, 19, ,zaozhuang
2020/3/17, 171, 146, 58, 30, 23, ,zaozhuang
2020/3/18, 175, 146, 40, 14, 8, ,zaozhuang
2020/3/19, 76, 121, 60, 31, 16, ,zaozhuang
2020/3/20, 138, 119, 77, 31, 17, ,zaozhuang
2020/3/21, 159, 89, 48, 15, 12, ,zaozhuang
2020/3/22, 128, 75, 60, 23, 15, ,zaozhuang
2020/3/23, 117, 85, 46, 22, 18, ,zaozhuang
2020/3/24, 123, 62, 31, 19, 15, ,zaozhuang
2020/3/25, 129, 84, 31, 17, 8, ,zaozhuang
2020/3/26, 155, 49, 35, 11, 11, ,zaozhuang
2020/3/27, 75, 72, 39, 18, 18, ,zaozhuang
2020/3/28, 106, 80, 33, 20, 24, ,zaozhuang
2020/3/29, 137, 79, 54, 17, 20, ,zaozhuang
2020/3/30, 151, 87, 34, 19, 24, ,zaozhuang
2020/3/31, 163, 94, 48, 18, 14, ,zaozhuang
2020/2/1, 219, 102, 46, 14, 16, ,zaozhuang
2020/2/2, 192, 75, 37, 10, 11, ,zaozhuang
2020/2/3, 156, 78, 43, 11, 10, ,zaozhuang
2020/2/4, 168, 48, 29, 5, 8, ,zaozhuang
2020/2/5, 96, 40, 29, 5, 5, ,zaozhuang
2020/2/6, 98, 57, 28, 9, 12, ,zaozhuang
2020/2/7, 135, 71, 38, 9, 11, ,zaozhuang
2020/2/8, 165, 85, 39, 12, 11, ,zaozhuang
2020/2/9, 179, 90, 45, 15, 12, ,zaozhuang
2020/2/10, 180, 74, 36, 11, 7, ,zaozhuang
2020/2/11, 163, 75, 39, 10, 11, ,zaozhuang
2020/2/12, 165, 67, 39, 10, 6, ,zaozhuang
2020/2/13, 154, 61, 17, 9, 5, ,zaozhuang
2020/2/14, 142, 34, 30, 6, 5, ,zaozhuang
