date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 98, 90, 34, 31, 12, ,zibo
2020/4/2, 154, 85, 47, 29, 9, ,zibo
2020/4/3, 145, 148, 40, 23, 11, ,zibo
2020/4/4, 118, 102, 63, 33, 19, ,zibo
2020/4/5, 139, 83, 56, 24, 15, ,zibo
2020/4/6, 137, 106, 83, 25, 18, ,zibo
2020/4/7, 163, 108, 50, 30, 16, ,zibo
2020/4/8, 168, 50, 36, 18, 12, ,zibo
2020/4/9, 113, 61, 43, 23, 9, ,zibo
2020/4/10, 126, 74, 54, 29, 9, ,zibo
2020/4/11, 135, 85, 54, 27, 13, ,zibo
2020/4/12, 127, 86, 65, 32, 13, ,zibo
2020/4/13, 144, 84, 71, 21, 10, ,zibo
2020/4/14, 140, 69, 80, 16, 9, ,zibo
2020/4/15, 128, 90, 66, 16, 5, ,zibo
2020/4/16, 129, 88, 64, 22, 7, ,zibo
2020/4/17, 137, 101, 84, 28, 13, ,zibo
2020/4/18, 173, 62, 57, 18, 6, ,zibo
2020/4/19, 148, 59, , 12, 8, ,zibo
2020/4/20, 73, 49, , 14, 14, ,zibo
2020/4/21, 67, 56, , 18, 7, ,zibo
2020/4/22, 73, 51, 3, 21, 8, ,zibo
2020/4/23, 85, 82, 50, 17, 9, ,zibo
2020/4/24, 106, 85, 45, 15, 10, ,zibo
2020/4/25, 115, 70, 48, 26, 12, ,zibo
2020/4/26, 121, 72, 61, 26, 14, ,zibo
2020/4/27, 131, 79, 78, 20, 13, ,zibo
2020/4/28, 118, 74, 108, 12, 12, ,zibo
2020/4/29, 136, 76, 76, 17, 13, ,zibo
2020/4/30, 155, 76, , , , ,zibo
2020/3/1, 172, 72, 36, 20, 11, ,zibo
2020/3/2, 143, 70, 24, 21, 9, ,zibo
2020/3/3, 145, 57, 31, 23, 10, ,zibo
2020/3/4, 101, 76, 46, 21, 14, ,zibo
2020/3/5, 155, 71, 53, 16, 9, ,zibo
2020/3/6, 157, 98, 50, 26, 9, ,zibo
2020/3/7, 205, 122, 60, 33, 11, ,zibo
2020/3/8, 215, 88, 25, 22, 11, ,zibo
2020/3/9, 178, 74, 37, 21, 7, ,zibo
2020/3/10, 142, 98, 48, 21, 10, ,zibo
2020/3/11, 149, 87, 45, 13, 8, ,zibo
2020/3/12, 139, 61, 36, 18, 10, ,zibo
2020/3/13, 98, 83, 37, 22, 10, ,zibo
2020/3/14, 127, 81, 37, 24, 13, ,zibo
2020/3/15, 101, 75, 43, 21, 14, ,zibo
2020/3/16, 125, 87, 44, 27, 15, ,zibo
2020/3/17, 148, 160, 64, 17, 13, ,zibo
2020/3/18, 141, 72, 40, 17, 6, ,zibo
2020/3/19, 88, 117, 59, 16, 9, ,zibo
2020/3/20, 124, 125, 65, 29, 16, ,zibo
2020/3/21, 164, 88, 57, 28, 14, ,zibo
2020/3/22, 143, 112, 89, 33, 20, ,zibo
2020/3/23, 169, 84, 58, 26, 15, ,zibo
2020/3/24, 135, 74, 55, 24, 8, ,zibo
2020/3/25, 127, 61, 25, 21, 8, ,zibo
2020/3/26, 140, 51, 34, 18, 9, ,zibo
2020/3/27, 69, 69, 41, 24, 16, ,zibo
2020/3/28, 99, 84, 44, 30, 13, ,zibo
2020/3/29, 140, 97, 67, 30, 13, ,zibo
2020/3/30, 170, 78, 41, 24, 11, ,zibo
2020/3/31, 149, 76, 36, 18, 15, ,zibo
2020/2/1, 174, 81, 34, 16, 22, ,zibo
2020/2/2, 172, 63, 39, 12, 11, ,zibo
2020/2/3, 146, 65, 31, 13, 10, ,zibo
2020/2/4, 140, 47, 31, 10, 13, ,zibo
2020/2/5, 91, 65, 27, 14, 14, ,zibo
2020/2/6, 148, 89, 31, 18, 16, ,zibo
2020/2/7, 187, 92, 34, 15, 14, ,zibo
2020/2/8, 187, 104, 46, 16, 11, ,zibo
2020/2/9, 199, 72, 50, 16, 13, ,zibo
2020/2/10, 161, 68, 49, 20, 11, ,zibo
2020/2/11, 151, 69, 46, 18, 10, ,zibo
2020/2/12, 160, 59, 45, 14, 8, ,zibo
2020/2/13, 137, 51, 26, 16, 11, ,zibo
2020/2/14, 137, 26, 32, 9, 6, ,zibo
2020/2/15, 72, 26, 33, 10, 7, ,zibo
2020/2/16, 59, 27, 34, 10, 9, ,zibo
2020/2/17, 69, 43, 42, 11, 10, ,zibo
2020/2/18, 93, 47, 45, 12, 9, ,zibo
2020/2/19, 111, 77, 45, 22, 14, ,zibo
2020/2/20, 167, 108, 41, 23, 9, ,zibo
2020/2/21, 195, 57, 37, 15, 6, ,zibo
2020/2/22, 83, 89, 57, 16, 8, ,zibo
2020/2/23, 131, 96, 48, 31, 11, ,zibo
2020/2/24, 189, 64, 22, 17, 4, ,zibo
2020/2/25, 156, 60, 36, 15, 9, ,zibo
2020/2/26, 103, 63, 29, 24, 13, ,zibo
2020/2/27, 129, 63, 33, 25, 6, ,zibo
2020/2/28, 166, 84, 25, 18, 6, ,zibo
2020/2/29, 181, 79, 31, 21, 9, ,zibo
2020/1/1, 152, 138, 20, 37, 34, ,zibo
2020/1/2, 196, 199, 20, 46, 33, ,zibo
2020/1/3, 283, 219, 25, 49, 35, ,zibo
2020/1/4, 331, 239, 19, 45, 24, ,zibo
2020/1/5, 340, 69, 7, 25, 8, ,zibo
2020/1/6, 163, 44, 24, 22, 7, ,zibo
2020/1/7, 115, 63, 27, 27, 14, ,zibo
2020/1/8, 144, 76, 34, 34, 17, ,zibo
2020/1/9, 162, 104, 21, 36, 24, ,zibo
2020/1/10, 192, 113, 18, 32, 18, ,zibo
2020/1/11, 210, 84, 27, 35, 15, ,zibo
2020/1/12, 161, 120, 19, 37, 19, ,zibo
2020/1/13, 196, 82, 26, 29, 18, ,zibo
2020/1/14, 153, 99, 29, 32, 22, ,zibo
2020/1/15, 170, 135, 19, 41, 33, ,zibo
2020/1/16, 205, 154, 26, 36, 24, ,zibo
2020/1/17, 268, 139, 28, 24, 14, ,zibo
2020/1/18, 237, 139, 36, 28, 14, ,zibo
2020/1/19, 232, 98, 28, 27, 23, ,zibo
2020/1/20, 152, 99, 43, 25, 16, ,zibo
2020/1/21, 167, 113, 47, 31, 18, ,zibo
2020/1/22, 181, 189, 37, 28, 23, ,zibo
2020/1/23, 265, 131, 31, 15, 14, ,zibo
2020/1/24, 167, 107, 44, 16, 29, ,zibo
2020/1/25, 181, 111, 31, 16, 27, ,zibo
2020/1/26, 181, 80, 33, 13, 15, ,zibo
2020/1/27, 163, 112, 42, 17, 27, ,zibo
2020/1/28, 230, 73, 34, 13, 12, ,zibo
2020/1/29, 169, 61, 34, 13, 16, ,zibo
2020/1/30, 130, 70, 51, 15, 17, ,zibo
2020/1/31, 165, 87, 39, 17, 15, ,zibo
2019/10/1, 112, 67, 100, 28, 8, ,zibo
2019/10/2, 132, 79, 109, 32, 11, ,zibo
